"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","contributing_genes"
"GO:0050920","regulation of chemotaxis","2/38","18/1871",0.111111111111111,5.47076023391813,2.74353996766119,0.050096602510833,0.682580091447175,0.67166273871995,"BMPR2/C5",2,"BMPR2;C5"
"GO:0031346","positive regulation of cell projection organization","3/38","43/1871",0.0697674418604651,3.43512851897185,2.32540920967657,0.0545866745036133,0.682580091447175,0.67166273871995,"BMPR2/ZMYND8/RAB11A",3,"BMPR2;ZMYND8;RAB11A"
"GO:0007267","cell-cell signaling","5/38","104/1871",0.0480769230769231,2.36715587044534,2.06513190163075,0.0560102338946585,0.682580091447175,0.67166273871995,"FCHSD2/ARF1/ZMYND8/GIT1/RAB11A",5,"FCHSD2;ARF1;ZMYND8;GIT1;RAB11A"
"GO:0009141","nucleoside triphosphate metabolic process","3/38","44/1871",0.0681818181818182,3.35705741626794,2.27750110011513,0.0577779623132024,0.682580091447175,0.67166273871995,"GTPBP1/IMPDH2/GIT1",3,"GTPBP1;IMPDH2;GIT1"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","4/38","73/1871",0.0547945205479452,2.69790915645278,2.1301608857009,0.057825508705754,0.682580091447175,0.67166273871995,"ACIN1/DDX46/METTL16/GEMIN8",4,"ACIN1;DDX46;METTL16;GEMIN8"
"GO:0000398","mRNA splicing, via spliceosome","4/38","73/1871",0.0547945205479452,2.69790915645278,2.1301608857009,0.057825508705754,0.682580091447175,0.67166273871995,"ACIN1/DDX46/METTL16/GEMIN8",4,"ACIN1;DDX46;METTL16;GEMIN8"
"GO:0000375","RNA splicing, via transesterification reactions","4/38","74/1871",0.0540540540540541,2.66145092460882,2.09923330593596,0.0602565835328575,0.682580091447175,0.67166273871995,"ACIN1/DDX46/METTL16/GEMIN8",4,"ACIN1;DDX46;METTL16;GEMIN8"
"GO:0000281","mitotic cytokinesis","2/38","20/1871",0.1,4.92368421052632,2.53943560453874,0.0606573386189764,0.682580091447175,0.67166273871995,"ARF1/RAB11A",2,"ARF1;RAB11A"
"GO:0032465","regulation of cytokinesis","2/38","20/1871",0.1,4.92368421052632,2.53943560453874,0.0606573386189764,0.682580091447175,0.67166273871995,"GIT1/RAB11A",2,"GIT1;RAB11A"
"GO:0009895","negative regulation of catabolic process","4/38","75/1871",0.0533333333333333,2.6259649122807,2.06880712888795,0.0627424393339468,0.682580091447175,0.67166273871995,"DEDD/TMEM39A/GIT1/METTL16",4,"DEDD;TMEM39A;GIT1;METTL16"
"GO:0032271","regulation of protein polymerization","2/38","21/1871",0.0952380952380952,4.68922305764411,2.44731609605595,0.0662013536850749,0.682580091447175,0.67166273871995,"FCHSD2/GIT1",2,"FCHSD2;GIT1"
"GO:1902905","positive regulation of supramolecular fiber organization","2/38","21/1871",0.0952380952380952,4.68922305764411,2.44731609605595,0.0662013536850749,0.682580091447175,0.67166273871995,"FCHSD2/GIT1",2,"FCHSD2;GIT1"
"GO:1905475","regulation of protein localization to membrane","2/38","21/1871",0.0952380952380952,4.68922305764411,2.44731609605595,0.0662013536850749,0.682580091447175,0.67166273871995,"ZMYND8/RAB11A",2,"ZMYND8;RAB11A"
"GO:0030182","neuron differentiation","6/38","144/1871",0.0416666666666667,2.0515350877193,1.8905589127594,0.0665130073174302,0.682580091447175,0.67166273871995,"SOS1/BMPR2/KREMEN1/ZMYND8/GIT1/RAB11A",6,"SOS1;BMPR2;KREMEN1;ZMYND8;GIT1;RAB11A"
"GO:0140014","mitotic nuclear division","3/38","47/1871",0.0638297872340425,3.1427771556551,2.14163220384711,0.0678745806938955,0.682580091447175,0.67166273871995,"TOM1L2/KIF22/RAB11A",3,"TOM1L2;KIF22;RAB11A"
"GO:0032102","negative regulation of response to external stimulus","3/38","48/1871",0.0625,3.07730263157895,2.09873896051375,0.0714102680567142,0.682580091447175,0.67166273871995,"KREMEN1/C5/GIT1",3,"KREMEN1;C5;GIT1"
"GO:0035264","multicellular organism growth","2/38","22/1871",0.0909090909090909,4.47607655502392,2.36082386368237,0.0719092917912358,0.682580091447175,0.67166273871995,"SOS1/RARG",2,"SOS1;RARG"
"GO:0051495","positive regulation of cytoskeleton organization","2/38","22/1871",0.0909090909090909,4.47607655502392,2.36082386368237,0.0719092917912358,0.682580091447175,0.67166273871995,"FCHSD2/GIT1",2,"FCHSD2;GIT1"
"GO:1905039","carboxylic acid transmembrane transport","2/38","22/1871",0.0909090909090909,4.47607655502392,2.36082386368237,0.0719092917912358,0.682580091447175,0.67166273871995,"SLC16A11/SLC43A1",2,"SLC16A11;SLC43A1"
"GO:0050808","synapse organization","3/38","49/1871",0.0612244897959184,3.01450053705693,2.05694467276569,0.0750288474674629,0.682580091447175,0.67166273871995,"ARF1/ZMYND8/GIT1",3,"ARF1;ZMYND8;GIT1"
"GO:0061564","axon development","3/38","49/1871",0.0612244897959184,3.01450053705693,2.05694467276569,0.0750288474674629,0.682580091447175,0.67166273871995,"SOS1/BMPR2/KREMEN1",3,"SOS1;BMPR2;KREMEN1"
"GO:0007565","female pregnancy","2/38","23/1871",0.0869565217391304,4.28146453089245,2.27935525206966,0.0777726109419308,0.682580091447175,0.67166273871995,"BMPR2/DEDD",2,"BMPR2;DEDD"
"GO:0009952","anterior/posterior pattern specification","2/38","23/1871",0.0869565217391304,4.28146453089245,2.27935525206966,0.0777726109419308,0.682580091447175,0.67166273871995,"BMPR2/RARG",2,"BMPR2;RARG"
"GO:0044703","multi-organism reproductive process","2/38","23/1871",0.0869565217391304,4.28146453089245,2.27935525206966,0.0777726109419308,0.682580091447175,0.67166273871995,"BMPR2/DEDD",2,"BMPR2;DEDD"
"GO:0044706","multi-multicellular organism process","2/38","23/1871",0.0869565217391304,4.28146453089245,2.27935525206966,0.0777726109419308,0.682580091447175,0.67166273871995,"BMPR2/DEDD",2,"BMPR2;DEDD"
"GO:1903825","organic acid transmembrane transport","2/38","23/1871",0.0869565217391304,4.28146453089245,2.27935525206966,0.0777726109419308,0.682580091447175,0.67166273871995,"SLC16A11/SLC43A1",2,"SLC16A11;SLC43A1"
"GO:0015711","organic anion transport","3/38","50/1871",0.06,2.95421052631579,2.01619598998939,0.078728939357873,0.682580091447175,0.67166273871995,"SLC16A11/SLC43A1/SLC2A3",3,"SLC16A11;SLC43A1;SLC2A3"
"GO:0043484","regulation of RNA splicing","3/38","50/1871",0.06,2.95421052631579,2.01619598998939,0.078728939357873,0.682580091447175,0.67166273871995,"ACIN1/PRX/METTL16",3,"ACIN1;PRX;METTL16"
"GO:0022008","neurogenesis","7/38","188/1871",0.0372340425531915,1.83328667413214,1.7340542185642,0.0794838387010422,0.682580091447175,0.67166273871995,"SOS1/BMPR2/KREMEN1/PRX/ZMYND8/GIT1/RAB11A",7,"SOS1;BMPR2;KREMEN1;PRX;ZMYND8;GIT1;RAB11A"
"GO:0009150","purine ribonucleotide metabolic process","3/38","51/1871",0.0588235294117647,2.89628482972136,1.97644318165179,0.0825091220163669,0.682580091447175,0.67166273871995,"GTPBP1/IMPDH2/GIT1",3,"GTPBP1;IMPDH2;GIT1"
"GO:0051216","cartilage development","2/38","24/1871",0.0833333333333333,4.1030701754386,2.20239462980367,0.0837830322554974,0.682580091447175,0.67166273871995,"BMPR2/RARG",2,"BMPR2;RARG"
"GO:0060348","bone development","2/38","24/1871",0.0833333333333333,4.1030701754386,2.20239462980367,0.0837830322554974,0.682580091447175,0.67166273871995,"BMPR2/RARG",2,"BMPR2;RARG"
