geneId	ENSEMBL	SYMBOL	GENENAME
27245	ENSG00000126705	AHDC1	AT-hook DNA binding motif containing 1
27250	ENSG00000150593	PDCD4	programmed cell death 4
7167	ENSG00000111669	TPI1	triosephosphate isomerase 1
100506753		MAILR	macrophage interferon regulatory lncRNA
11328	ENSG00000122642	FKBP9	FKBP prolyl isomerase 9
102725509		LINC01232	long intergenic non-protein coding RNA 1232
4191	ENSG00000146701	MDH2	malate dehydrogenase 2
23603	ENSG00000110880	CORO1C	coronin 1C
1997	ENSG00000120690	ELF1	E74 like ETS transcription factor 1
154791	ENSG00000164898	FMC1	formation of mitochondrial complex V assembly factor 1
55652	ENSG00000211584	SLC48A1	solute carrier family 48 member 1
7157	ENSG00000141510	TP53	tumor protein p53
7205	ENSG00000087077	TRIP6	thyroid hormone receptor interactor 6
284040	ENSG00000239704	CDRT4	CMT1A duplicated region transcript 4
134510	ENSG00000164332	UBLCP1	ubiquitin like domain containing CTD phosphatase 1
5187	ENSG00000179094	PER1	period circadian regulator 1
51523	ENSG00000171604	CXXC5	CXXC finger protein 5
1822	ENSG00000111676	ATN1	atrophin 1
10098	ENSG00000168785	TSPAN5	tetraspanin 5
100505561	ENSG00000227356	GOLGA7B-DT	GOLGA7B divergent transcript
112267993		LOC112267993	uncharacterized LOC112267993
3398	ENSG00000115738	ID2	inhibitor of DNA binding 2
8239	ENSG00000124486	USP9X	ubiquitin specific peptidase 9 X-linked
5050	ENSG00000079462	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3
8331	ENSG00000276368	H2AC14	H2A clustered histone 14
283404	ENSG00000258279	LINC00592	long intergenic non-protein coding RNA 592
29789	ENSG00000138430	OLA1	Obg like ATPase 1
3995	ENSG00000221968	FADS3	fatty acid desaturase 3
101929691	ENSG00000285872	LOC101929691	uncharacterized LOC101929691
3916	ENSG00000185896	LAMP1	lysosomal associated membrane protein 1
23404	ENSG00000130713	EXOSC2	exosome component 2
105374978	ENSG00000224164	LINC02828	long intergenic non-protein coding RNA 2828
