distance_bp,YEATS2KD,p53KD
-464.6464646464647,0.000414295264144493,-0.05161732381858561
-424.24242424242425,0.0006775377634464785,-0.054134072215193604
-383.83838383838383,0.0002484445735405072,-0.056699811098301495
-343.43434343434365,0.0015606062558301825,-0.0581257170136845
-303.03030303030323,0.0019048087068550823,-0.0578415772264588
-262.6262626262628,0.001662776045089992,-0.05935213426788719
-222.2222222222224,0.0013446304456359026,-0.061979401428903395
-181.818181818182,0.00012929388408888798,-0.06382415388721059
-141.41414141414157,-8.96711174860898e-05,-0.0661205096440165
-101.01010101010117,-0.00042869822365129706,-0.0667275670334063
-60.60606060606074,-0.0006595430795195145,-0.06529219447113821
-20.20202020202032,-0.0007391353545503077,-0.06527703461049231
20.20202020202009,-0.0007346795875645962,-0.06453798802793659
60.60606060606051,-0.0008514565728980072,-0.06456427924939961
101.0101010101007,-0.0018924823351035014,-0.0648114444654414
141.41414141414134,-0.0022067784287162773,-0.0635974042070428
181.81818181818156,-0.002186170417346117,-0.06333402210704239
222.22222222222217,-0.002083353918628683,-0.06364134084911091
262.6262626262624,-0.0003793755860036774,-0.06367284523419009
303.030303030303,0.00019701908834640625,-0.0610340947003779
343.4343434343432,0.0011008783462010951,-0.0574840730865819
383.83838383838383,0.00169816506903811,-0.055663513606634296
424.242424242424,0.002172217218503608,-0.053046189593578
464.6464646464647,0.0029769833792379075,-0.049534400739374
505.05050505050485,0.002994976789574999,-0.0481557031508901
545.4545454545455,0.0034295909011427123,-0.044615438793145404
585.8585858585857,0.0031694772390613024,-0.0417631680669084
626.2626262626259,0.0028627794568878012,-0.040364430194454404
666.6666666666665,0.0035176800082103027,-0.0379330182819581
707.0707070707067,0.0029968334392025953,-0.0353634237268221
747.4747474747473,0.0029159419522961083,-0.0334453287087072
787.8787878787875,0.0027706697907952937,-0.0319574756453746
828.2828282828282,0.0026716522256692993,-0.0290943196929973
868.6868686868684,0.0024986119256374117,-0.0284561562458218
909.090909090909,0.001845827785082202,-0.0291227373215325
949.4949494949492,0.002793058698405307,-0.029136115838007202
989.8989898989898,0.0034243429074084925,-0.0280952855155924
1030.30303030303,0.004080068055875796,-0.0274397110955772
1070.707070707071,0.0051727056690994005,-0.026703304288798
1111.1111111111109,0.005188747150161703,-0.025447826184624198
1151.5151515151515,0.0049883111012251,-0.0247434366334335
1191.9191919191917,0.0042897630644054,-0.023083918797709702
1232.3232323232323,0.003600015445167498,-0.0211264958366847
1272.7272727272723,0.003865028707840397,-0.0191617976976577
1313.1313131313127,0.0031657907755983997,-0.017948703472008998
1353.5353535353534,0.0034533781239817,-0.015835837595951998
1393.9393939393935,0.0029804361304830024,-0.0151645773240508
1434.3434343434342,0.002461428178568599,-0.015100337420322098
1474.7474747474744,0.0026270388492998023,-0.0162716815476626
1515.151515151515,0.0033238770272042,-0.015894056852267198
1555.5555555555552,0.0035567558596062976,-0.016993372711305698
1595.9595959595958,0.0037005910417687027,-0.0167567971527767
1636.363636363636,0.003151314387201898,-0.0153168003606102
1676.767676767677,0.0027510902745335047,-0.013718067102932701
1717.1717171717169,0.002905958316972594,-0.0126141531778039
1757.5757575757575,0.002723060751786001,-0.011704209145980499
1797.9797979797977,0.003750059059470602,-0.0105027303605479
1838.3838383838383,0.0044634139975398,-0.0108572712839602
1878.7878787878783,0.003987532386147602,-0.009962786555472301
1919.1919191919187,0.003146443954972801,-0.0108991185148106
1959.5959595959596,0.002398360230323901,-0.0131685075634508
2000.0,0.001188528224544301,-0.0141473810947093
