"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_up","GO_BP","GO:0009888","tissue development","1/3","177/1522",1,0.310061927127689,0.389028905613625,"CORO1C"
"loss_up","GO_BP","GO:0009605","response to external stimulus","1/3","178/1522",1,0.311600822457515,0.389028905613625,"CORO1C"
"loss_up","GO_BP","GO:0006793","phosphorus metabolic process","1/3","192/1522",1,0.332905680525209,0.410650120887384,"CORO1C"
"loss_up","GO_BP","GO:0006796","phosphate-containing compound metabolic process","1/3","192/1522",1,0.332905680525209,0.410650120887384,"CORO1C"
"loss_up","GO_BP","GO:0070887","cellular response to chemical stimulus","1/3","194/1522",1,0.335912864137499,0.411893154835267,"CORO1C"
"loss_up","GO_BP","GO:0051649","establishment of localization in cell","1/3","200/1522",1,0.344880163771246,0.419048844616546,"CORO1C"
"loss_up","GO_BP","GO:0045893","positive regulation of DNA-templated transcription","1/3","202/1522",1,0.34785122538558,0.419048844616546,"ELF1"
"loss_up","GO_BP","GO:1902680","positive regulation of RNA biosynthetic process","1/3","202/1522",1,0.34785122538558,0.419048844616546,"ELF1"
"loss_up","GO_BP","GO:0051246","regulation of protein metabolic process","1/3","210/1522",1,0.359645644291354,0.429992098573156,"CORO1C"
"loss_up","GO_BP","GO:0009653","anatomical structure morphogenesis","1/3","211/1522",1,0.361109869190077,0.429992098573156,"CORO1C"
"loss_up","GO_BP","GO:0007399","nervous system development","1/3","213/1522",1,0.364031619434563,0.43097996323862,"CORO1C"
"loss_up","GO_BP","GO:0007166","cell surface receptor signaling pathway","1/3","225/1522",1,0.381375249583499,0.448848767572844,"ELF1"
"loss_up","GO_BP","GO:0048584","positive regulation of response to stimulus","1/3","228/1522",1,0.385661319710648,0.448848767572844,"ELF1"
"loss_up","GO_BP","GO:0051254","positive regulation of RNA metabolic process","1/3","228/1522",1,0.385661319710648,0.448848767572844,"ELF1"
"loss_up","GO_BP","GO:0050793","regulation of developmental process","1/3","234/1522",1,0.394173977347087,0.456178872660112,"CORO1C"
"loss_up","GO_BP","GO:0007049","cell cycle","1/3","236/1522",1,0.396993955431075,0.4568757252447,"TSC22D2"
"loss_up","GO_BP","GO:0051641","cellular localization","1/3","240/1522",1,0.402607631754237,0.460438237670457,"CORO1C"
"loss_up","GO_BP","GO:0048468","cell development","1/3","242/1522",1,0.405401357275888,0.460438237670457,"CORO1C"
"loss_up","GO_BP","GO:0036211","protein modification process","1/3","243/1522",1,0.406794947844773,0.460438237670457,"CORO1C"
"loss_up","GO_BP","GO:0045935","positive regulation of nucleobase-containing compound metabolic process","1/3","258/1522",1,0.427438258734178,0.481160007099675,"ELF1"
"loss_up","GO_BP","GO:0051128","regulation of cellular component organization","1/3","264/1522",1,0.435559583358399,0.487637359629512,"CORO1C"
