distance_bp,Scramble replicate 1,Scramble replicate 2,Scramble mean,Scramble sem,p53KD replicate 1,p53KD replicate 2,p53KD mean,p53KD sem
-141.41414141414157,0.31112178234400106,0.290416668172665,0.30076922525833305,0.01035255708566804,0.08326316233149209,0.04699991854613126,0.06513154043881167,0.018131621892680413
-101.01010101010115,0.30665977586581855,0.3038069299066306,0.30523335288622455,0.001426422979593972,0.07830030162723106,0.04025611901999496,0.05927821032361301,0.019022091303618052
-60.60606060606074,0.29732715028001383,0.3365096637109915,0.31691840699550267,0.019591256715488836,0.07209118077161424,0.03966280860112637,0.05587699468637031,0.01621418608524393
-20.20202020202032,0.3009956096891326,0.3535170766784411,0.3272563431837868,0.026260733494654267,0.0667551636901806,0.04170817483215136,0.05423166926116598,0.012523494429014617
20.202020202020094,0.3071360161841342,0.37490004860784953,0.3410180323959919,0.03388201621185765,0.06790550865138703,0.051808211356512285,0.05985686000394966,0.008048648647437373
60.60606060606051,0.31607554265162136,0.36210134822514933,0.33908844543838534,0.023012902786763986,0.07045398629252478,0.06525243253357033,0.06785320941304755,0.002600776879477226
101.0101010101007,0.32736635949809123,0.36215305336094106,0.34475970642951614,0.017393346931424913,0.09201352639377414,0.07019688808199832,0.08110520723788622,0.010908319155887906
141.41414141414134,0.3198028709459912,0.3582995306630622,0.33905120080452666,0.019248329858535498,0.10028606704617797,0.0763600014661539,0.08832303425616594,0.011963032790012032
181.81818181818153,0.31516693816021346,0.3501963527019445,0.332681645431079,0.017514707270865515,0.10376177572569024,0.07319316184597222,0.08847746878583124,0.015284306939859013
222.22222222222217,0.2897419305961894,0.3639887442117159,0.3268653374039526,0.03712340680776324,0.1045915238068777,0.06472320849455653,0.08465736615071712,0.019934157656160585
262.62626262626236,0.27302330175506145,0.3552667067297512,0.3141450042424063,0.04112170248734487,0.09352368112945915,0.055945559110980286,0.07473462012021972,0.018789061009239428
303.030303030303,0.2656026346058934,0.3296293032923269,0.29761596894911013,0.03201333434321676,0.08523394997248297,0.04728422004966496,0.06625908501107397,0.018974864961409005
343.4343434343432,0.2570046938299837,0.30382066032261634,0.2804126770763,0.02340798324631632,0.07211890972346907,0.036876716415156684,0.05449781306931288,0.01762109665415619
383.83838383838383,0.24615601761139086,0.2624397185755826,0.25429786809348676,0.008141850482095881,0.06653135140764617,0.04103324186133077,0.05378229663448847,0.012749054773157699
424.242424242424,0.2490621851757583,0.24766961587099579,0.24836590052337704,0.0006962846523812516,0.06657044740890597,0.03907818227682237,0.052824314842864165,0.0137461325660418
464.64646464646466,0.23553405661694438,0.21655851946977372,0.22604628804335905,0.009487768573585324,0.06585299609927465,0.03124609402299116,0.048549545061132904,0.017303451038141748
