Gene,RNA_log2FC,RNA_stat,RNA_padj,RNA_baseMean,RNA_ID_rows,H4K16ac_Fold_median,H4K16ac_Fold_mean,H4K16ac_min_FDR,H4K16ac_peak_count,H4K16ac_Fold_nearest_TSS
MYO18A,-0.4465439209935896,-4.355172385383441,7.113161292717914e-05,976.0086053184258,1,0.0487402720108667,0.0487402720108667,0.960586132131068,1,0.0487402720108667
MYO1C,0.1921816680380291,2.785493241444843,0.0160328806021929,4847.534870598318,1,-0.9838055030995885,-0.9838055030995885,0.130425683869448,2,-1.33697890813523
MYO1D,-0.0333239176560433,-0.4894953306547758,0.7563372001238735,4527.348192109826,1,0.0839706943195951,0.09799457503660035,0.393921347130621,3,-0.471502615631602
MYOF,0.2944044996375001,2.8288943735501264,0.0143139941774215,1765.9629359528358,1,0.16895138997492348,0.16895138997492348,0.51493995131783,2,-0.239400974238836
MZF1-AS1,-0.2238442017804403,-0.4976627878901008,0.7518912198839376,29.110390041526745,1,-0.286956614946451,-0.286956614946451,0.785493256403938,1,-0.286956614946451
NAA20,0.3397489555313646,2.941783318073303,0.0104425016974007,983.1667964711636,1,-0.329926666504139,-0.329926666504139,0.729340171381177,1,-0.329926666504139
NAA50,0.7488470690820249,8.831912110673489,2.3655190332422986e-17,2773.818331663715,1,-1.01783535949902,-1.01783535949902,0.195147895407468,1,-1.01783535949902
NAA80,-0.241645131112681,-0.999391389213614,0.4718049400338092,136.50036369455182,1,-1.2318270165774,-1.2318270165774,0.119868824494066,1,-1.2318270165774
NACA,0.7623253506783834,9.112669255848845,2.0266019171811758e-18,5298.035625554636,1,-0.725277523020572,-0.725277523020572,0.397964506579888,1,-0.725277523020572
NACC1,-0.0300595149352843,-0.3685267712850126,0.8238401488788378,2491.2180812611728,1,-0.0320212160230889,-0.0320212160230889,0.975035958894209,1,-0.0320212160230889
NACC2,-0.5364392255324608,-5.139794034216692,1.927991888053453e-06,933.4221514737068,1,-0.0520756374537579,-0.0520756374537579,0.958570703526529,1,-0.0520756374537579
NAIF1,-0.19916652951096,-0.7804173875265735,0.5915462509446852,97.59674794440365,1,-0.713946561610735,-0.713946561610735,0.378112790666894,1,-0.713946561610735
NALT1,-0.1955449270273959,-0.3138685754873121,0.8531087784456947,13.405706145933022,1,0.246051482520558,0.246051482520558,0.823364739309569,1,0.246051482520558
NAMPT,0.1368310531394085,1.5026446448198114,0.2436138184184201,1523.3130439764857,1,0.357839283627512,0.357839283627512,0.69136067212377,1,0.357839283627512
NAT9,0.2997519194251047,2.9945749766365104,0.0089707736646193,838.4825943707403,1,-0.0437658047813681,-0.0437658047813681,0.967164668974475,1,-0.0437658047813681
NBR2,0.8022639819661376,3.1426128538380307,0.0057858838439876,94.210690056836,1,-0.102693744236858,-0.102693744236858,0.928916921763487,1,-0.102693744236858
NCAPH,0.3800609310057516,3.4535160493955046,0.0021683742348323,808.9668591711184,1,-1.1979381047557,-1.1979381047557,0.104962546556345,1,-1.1979381047557
NCBP2AS2,0.6011155473887715,4.064449823447192,0.0002331310655153,314.67393670024217,1,-0.0776062419433081,-0.0776062419433081,0.944733898979837,1,-0.0776062419433081
NCDN,0.044669854558612,0.31155071258589,0.8544833957978472,362.9019166239858,1,-0.0725241553513589,-0.0725241553513589,0.946237612433902,1,-0.0725241553513589
NCL,0.2974763909704245,3.754765071543227,0.0007561239806429,14523.167847786988,1,-1.22161234850931,-1.22161234850931,0.063884679896224,1,-1.22161234850931
NCLN,-0.4328544555874457,-4.125824423847565,0.0001832625151281,1985.1827992645672,1,-1.36678870793142,-1.36678870793142,0.129892772014204,1,-1.36678870793142
NDUFA7,0.08881451011448,0.0789597579967175,0.9662753546195386,5.2344617467300445,1,-0.501934886456735,-0.501934886456735,0.597449653090995,1,-0.501934886456735
NDUFAF3,0.5101436046825215,3.9285851738466806,0.0003974141243408,482.1385247408045,1,-0.524476359333497,-0.524476359333497,0.564048935726476,1,-0.524476359333497
NDUFS2,0.0008368621887631,0.0074725859576345,0.9970995125759312,644.0983966668681,1,0.219813236200883,0.219813236200883,0.835402739009506,1,0.219813236200883
NEAT1,0.0001026167828663,0.0002638010050708,0.9998874614657104,3094.1479172639674,1,0.09616266680235999,0.09616266680235999,0.750507636387212,2,-0.115867373157446
NEBL,0.2191325444309073,2.149011714827029,0.0750484783227782,795.140676880657,1,-0.453022457486758,-0.453022457486758,0.622924111465692,1,-0.453022457486758
NEDD4L,0.7033470991410931,6.92686354005392,5.5267308960337385e-11,944.1651822075746,1,-0.149166375980084,-0.149166375980084,0.864017979217365,1,-0.149166375980084
NEK3,0.9426216548937142,4.95901966905973,4.669156776975768e-06,194.3308362078924,1,-0.42624052852957417,-0.42624052852957417,0.253306449933592,2,0.0160184965289687
NEK6,0.8975565781529815,6.950317434549686,4.728066126756828e-11,419.4651792171049,1,-0.0558014290280697,-0.0558014290280697,0.955046422732559,1,-0.0558014290280697
NEK9,-0.3488667688442924,-3.728479323512183,0.0008284259507933,1163.1949600013395,1,-0.91592157654407,-0.91592157654407,0.252283407639987,1,-0.91592157654407
NEMP1,0.2937456632723049,3.161628555542168,0.0054487834675946,1377.9758274574351,1,-0.311415487435871,-0.311415487435871,0.720700961239228,1,-0.311415487435871
NEURL2,-0.8307900837691058,-2.15981930441722,0.0734071199992857,42.38491767496486,1,-0.228190900613441,-0.228190900613441,0.832929435366509,1,-0.228190900613441
NFAT5,-0.1172954075228516,-1.159711290833809,0.3907069470449091,1348.47509526279,1,-0.348477457721057,-0.348477457721057,0.740269183487328,1,-0.348477457721057
NFATC2,0.4952487800889522,3.531114235398642,0.0016603502645363,411.9500660038202,1,0.5806657872802925,0.5806657872802925,0.10373044521971,2,-0.136192372453725
NFATC3,0.3468286205575543,2.827276956415735,0.0143724105372213,486.649656456899,1,-3.69896161746697,-3.69896161746697,0.0224850691000763,1,-3.69896161746697
NFE2L1,0.4694969657682795,5.944134150141148,2.5767945759770063e-08,2799.0940065032964,1,-0.174513180375134,-0.174513180375134,0.869836934444701,1,-0.174513180375134
NFIC,0.2365544076399681,2.4089019432753997,0.0417634533115253,1735.2839887075722,1,-0.5840004815101025,-0.5840004815101025,0.228690441535835,2,-0.165057942785375
NFIX,-0.0165035564965369,-0.1623859248256365,0.9291961238332112,792.4255280192061,1,-0.388294470856078,-0.36889195021592946,0.606214386732758,4,-0.348178700340735
NFU1,-0.1686845642821924,-1.1227855392592132,0.4077613099635938,287.0993347792796,1,0.255107986514126,0.255107986514126,0.809645627909404,1,0.255107986514126
NFX1,0.2683916361859638,2.180999912488581,0.0700330469193558,481.255331697044,1,-0.211192579692425,-0.211192579692425,0.841591823625857,1,-0.211192579692425
NFYC-AS1,-0.8469912737026107,-1.5099099079200866,0.2409821437636714,18.73927181759696,1,-0.771489314802371,-0.771489314802371,0.249262821392229,1,-0.771489314802371
NINJ2-AS1,0.2956883874242013,0.9654167169977198,0.4900002260164464,61.35840919007689,1,-0.920853914722168,-0.920853914722168,0.234801406286453,1,-0.920853914722168
NKD1,-0.503724496866079,-7.172999491920836,1.0295808510502626e-11,4029.935196811856,1,-0.6193331154415146,-0.6193331154415146,0.215777755911371,2,-1.0556290164362
NLRX1,-0.0569437601244623,-0.2619909940159664,0.8793804104328138,155.41854256814833,1,-0.133631405628418,-0.133631405628418,0.895674042049214,1,-0.133631405628418
NME2,0.5433199278137637,1.282999298714547,0.33319267392495,35.48185544518492,1,-1.34082383039128,-1.34082383039128,0.0652706418267546,1,-1.34082383039128
NMT1,0.5362075043098891,6.352217915457785,2.288011377332053e-09,1704.992660698064,1,-3.21622947180225,-3.21622947180225,0.0327680191839872,1,-3.21622947180225
NOB1,0.3336846056266399,3.371736515570365,0.0028190387921179,1041.5969379763933,1,-0.675644646618787,-0.675644646618787,0.437254926308043,1,-0.675644646618787
NOL3,-0.2045972949261976,-1.208694321775983,0.3673605918910212,252.2371582863968,1,-0.1768130413312094,-0.1768130413312094,0.716258827003209,2,-0.0177898605122608
NOL4L,0.2701292707346334,2.0216612427000467,0.0974718595003946,437.47090752585103,1,-0.99582349775975,-0.99582349775975,0.216901195704971,1,-0.99582349775975
NOL9,0.342268496027827,3.357265414612329,0.0029558301783068,970.278343807544,1,-1.04608682827233,-1.04608682827233,0.200850706011295,1,-1.04608682827233
NOLC1,0.2042282932462912,2.6325412609506595,0.0240303305123252,4636.649890930198,1,-0.0811707322401923,-0.0811707322401923,0.937918109429536,1,-0.0811707322401923
NONO,-0.0054957411585276,-0.0839140760317044,0.9645909634565276,5604.720379861711,1,-0.756169767317582,-0.756169767317582,0.374540316410982,1,-0.756169767317582
NOP14,0.3675029114648609,3.781984040363528,0.0006856720497891,1356.7699966577673,1,0.184756849360551,0.184756849360551,0.835402739009506,1,0.184756849360551
NOP14-AS1,-0.0068741832661365,-0.0359874617318072,0.9856784518311656,183.5581676143564,1,-0.448676843911847,-0.448676843911847,0.64167082337147,1,-0.448676843911847
NOP53,-0.3683164418510308,-4.33640000299133,7.706143495208664e-05,1873.478489130252,1,-0.481257118629291,-0.481257118629291,0.615232869362891,1,-0.481257118629291
NOP58,0.2325718238356176,2.802477410890719,0.0153272689799823,1642.2546710465965,1,-0.591829212760113,-0.591829212760113,0.425799905953168,1,-0.591829212760113
NPEPL1,-0.5183396488919956,-2.131477344421508,0.0779591143960662,112.59965314892644,1,0.0432220341436072,0.0432220341436072,0.967439519313187,1,0.0432220341436072
NPM1,0.2863070061499042,3.8926326624191607,0.0004540434018509,10798.74779574768,1,-0.541356681379038,-0.541356681379038,0.429163998747097,1,-0.541356681379038
NPRL3,-0.0219012222803593,-0.2089945750547296,0.906222111096684,749.3289681442953,1,-0.278231556777034,-0.278231556777034,0.790282441659677,1,-0.278231556777034
NPTX2,-1.0750363368290994,-7.949661523862082,3.3876299233700656e-14,408.7067845320858,1,0.0467725168879046,0.0467725168879046,0.961341925838648,1,0.0467725168879046
NR1D1,1.274724396711398,4.360699843492706,6.954851203999491e-05,409.3144058145332,1,-0.42659604046362953,-0.42659604046362953,0.503938814973003,2,-0.570972711978676
NR1H3,-0.6197413462585408,-3.3528141098925466,0.0029965796106227,164.34856176836308,1,-0.809780693792854,-0.916158331401096,0.0843957679151812,3,-0.809780693792854
NRARP,-0.116103271108613,-1.1756264798792808,0.3830026421857891,968.6423010540278,1,-0.188048984038733,-0.188048984038733,0.85672776349682,1,-0.188048984038733
NRDC,-0.1139343866619652,-1.1769295621113556,0.3822882491750733,1220.1497099664937,1,0.0559036967432462,0.0559036967432462,0.959416084190003,1,0.0559036967432462
NRSN2-AS1,0.0929536889774807,0.2991158891187406,0.8608986588448162,61.66678824342621,1,-0.676795419742504,-0.676795419742504,0.437254926308043,1,-0.676795419742504
NSD1,0.6632139055625743,8.02236336010157,1.912150447488397e-14,1853.7438690472568,1,0.852889850533283,0.852889850533283,0.289610387088713,1,0.852889850533283
NSD2,0.1997302091106687,2.4877093326428885,0.0345442923925809,2428.9932709313684,1,-0.679261338453636,-0.679261338453636,0.43572281394261,1,-0.679261338453636
NSMCE2,0.0060831142633631,0.0277566899571212,0.988515829733152,141.55011038776976,1,0.0203364248393502,0.0203364248393502,0.988880693282107,1,0.0203364248393502
NSUN5,-0.7620388414601952,-6.906216007089092,6.356909842328688e-11,678.1062169120248,1,-1.22448798359874,-1.22448798359874,0.132921301414044,1,-1.22448798359874
NT5C,0.1127432072849957,0.7521853125688268,0.6074043691347951,406.4687362310149,1,-1.21589634472258,-1.21589634472258,0.132343997733913,1,-1.21589634472258
NTMT1,0.4745462572249923,4.497607057299239,3.858732179245988e-05,1003.0165557866808,1,0.11954882805502248,0.11954882805502248,0.727820322880921,2,0.347623853553742
NTSR1,-3.3203514236231637,-25.15735615094673,2.6220017909365054e-136,1056.5586077332332,1,-0.186268803894713,-0.186268803894713,0.854703680798006,1,-0.186268803894713
NUAK1,-0.1771529916686059,-1.633915656623913,0.1984021023315078,620.3157259742145,1,-0.123422020008065,-0.123422020008065,0.883449860305013,2,-0.132915067222096
