distance_bp,control_mean,KD_mean,KD_minus_control
3383.8383838383834,-0.010881466088841737,-0.031402235331110064,-0.020520769242268328
3484.848484848484,-0.011677411450103203,-0.026132307277596103,-0.014454895827492905
3585.8585858585866,-0.013576554521917635,-0.02436039471248829,-0.01078384019057064
3686.8686868686873,-0.018477372312851157,-0.03482059901957445,-0.016343226706723307
3787.878787878788,-0.023397586853842276,-0.02446066964232998,-0.0010630827884877125
3888.8888888888887,-0.03410012495859624,-0.00878718017901588,0.02531294477958034
3989.8989898989894,-0.024639238224545442,-0.0036118131127351764,0.02102742511181025
4090.90909090909,-0.015763526934811818,-0.00965103734221954,0.006112489592592297
4191.919191919193,-0.015907699638889182,-0.008114538186872288,0.007793161452016889
4292.929292929293,-0.015879188600450865,-0.010832508935664715,0.0050466796647861654
4393.939393939394,-0.007701561170453294,-0.01846068022105521,-0.010759119050601906
4494.949494949495,-0.005166418028087583,-0.025327944446314792,-0.020161526418227233
4595.959595959595,-0.012584991032124248,-0.016097320551041495,-0.0035123295189172297
4696.969696969696,-0.005769941863641178,-0.005023727793360683,0.0007462140702805023
4797.979797979799,-0.007105853988503159,-0.007325575145570421,-0.00021972115706725602
4898.989898989899,-0.010885754422374003,0.0014923205398484308,0.012378074962222433
5000.0,-0.017991479292644934,0.004328650185533868,0.022320129478178817
