"Set","SYMBOL","ENTREZID"
"background","IGF2BP3","10643"
"background","IGFBP6","3489"
"background","IGFL4","444882"
"background","IGSF9B","22997"
"background","IKBKB","3551"
"background","IKBKG","8517"
"background","IL16","3603"
"background","IL17RC","84818"
"background","IL17RD","54756"
"background","IL19","29949"
"background","IL20RA","53832"
"background","IL23A","51561"
"background","ILF3","3609"
"background","IMMT","10989"
"background","IMPA2","3613"
"background","IMPACT","55364"
"background","IMPDH2","3615"
"background","INAFM1","255783"
"background","INF2","64423"
"background","ING1","3621"
"background","ING3","54556"
"background","ING5","84289"
"background","INO80","54617"
"background","INO80E","283899"
"background","INPP5K","51763"
"background","INSIG1-DT","105375591"
"background","INTS4","92105"
"background","INTS5","80789"
"background","IPO7","10527"
"background","IQCC","55721"
"background","IQGAP2","10788"
"background","IRAG1","10335"
"background","IRAK1","3654"
"background","IRF2BP2","359948"
"background","IRGQ","126298"
"background","ITGAE","3682"
"background","ITGB1BP1","9270"
"background","ITGB5","3693"
"background","ITPA","3704"
"background","ITPR3","3710"
"background","ITPRIPL1","150771"
"background","IZUMO4","113177"
"background","JADE2","23338"
"background","JAG2","3714"
"background","JAGN1","84522"
"background","JAK3","3718"
"background","JAKMIP3","282973"
"background","JOSD1","9929"
"background","JOSD2","126119"
"background","JPT2","90861"
"background","JTB","10899"
"background","JUNB","3726"
"background","KANK1","23189"
"background","KAT2A","2648"
"background","KAT7","11143"
"background","KATNIP","23247"
"background","KAZALD1","81621"
"background","KBTBD2","25948"
"background","KCNAB2","8514"
"background","KCNJ5","3762"
"background","KCNQ1OT1","10984"
"background","KCTD15","79047"
"background","KCTD20","222658"
"background","KDELR1","10945"
"background","KDM2A","22992"
"background","KDM4B","23030"
"background","KDM4C","23081"
"background","KDM6B","23135"
"background","KEAP1","9817"
"background","KHK","3795"
"background","KHSRP","8570"
"background","KIF11","3832"
"background","KIF17","57576"
"background","KIF22","3835"
"background","KIZ","55857"
"background","KLF16","83855"
"background","KLF6","1316"
"background","KLHDC2","23588"
"background","KLHDC3","116138"
"background","KLHL21","9903"
"background","KLHL8","57563"
"background","KLK6","5653"
"background","KLK7","5650"
"background","KLRG1","10219"
"background","KMT2B","9757"
"background","KMT5A","387893"
"background","KPNA2","3838"
"background","KPNA3","3839"
"background","KREMEN1","83999"
"background","KREMEN2","79412"
"background","KRI1","65095"
"background","KRT18","3875"
"background","KRT5","3852"
"background","KRT74","121391"
"background","KRT75","9119"
"background","KRT8","3856"
"background","KRT80","144501"
"background","KRT81","3887"
"background","KRT86","3892"
"background","KRTCAP2","200185"
"background","KXD1","79036"
"background","L3MBTL1","26013"
"background","LAGE3","8270"
"background","LAMP1","3916"
"background","LAMTOR1","55004"
"background","LAMTOR2","28956"
"background","LAMTOR4","389541"
"background","LAMTOR5-AS1","101410535"
"background","LANCL2","55915"
"background","LARP1","23367"
"background","LCN12","286256"
"background","LDB1","8861"
"background","LDLRAD3","143458"
"background","LDLRAP1","26119"
"background","LEKR1","389170"
"background","LETMD1","25875"
"background","LGALS3BP","3959"
"background","LHX6","26468"
"background","LIF","3976"
"background","LIMA1","51474"
"background","LIMK1","3984"
"background","LIMS1","3987"
"background","LIN9","286826"
"background","LINC-PINT","378805"
"background","LINC00324","284029"
"background","LINC00649","100506334"
"background","LINC00886","730091"
"background","LINC00899","100271722"
"background","LINC00910","100130581"
"background","LINC00963","100506190"
"background","LINC01089","338799"
"background","LINC01106","151009"
"background","LINC01119","100134259"
"background","LINC01124","440925"
"background","LINC01126","100129726"
"background","LINC01132","100506810"
"background","LINC01134","100133612"
"background","LINC01144","400752"
"background","LINC01186","101927574"
"background","LINC01191","440900"
"background","LINC01220","731223"
"background","LINC01232","102725509"
"background","LINC01303","101927780"
"background","LINC01451","401561"
"background","LINC01488","101928292"
"background","LINC01503","100506119"
"background","LINC01622","285768"
"background","LINC01730","101929125"
"background","LINC01786","101928895"
"background","LINC01816","100133985"
"background","LINC01842","101928845"
"background","LINC01843","101927934"
"background","LINC01977","105371919"
"background","LINC01992","105371708"
"background","LINC02043","102724699"
"background","LINC02298","102723354"
"background","LINC02525","100507194"
"background","LINC02572","105373615"
"background","LINC02832","105373886"
"background","LINC02851","105375968"
"background","LINC02863","102723741"
"background","LINC02870","170393"
"background","LINC02900","340073"
"background","LINC02912","641384"
"background","LINC02964","105375746"
"background","LINC02966","101927400"
"background","LIPE-AS1","100996307"
"background","LIPT2-AS1","100287896"
"background","LLGL1","3996"
"background","LMAN2","10960"
"background","LMNA","4000"
"background","LMNB1","4001"
"background","LMNB2","84823"
"background","LNCOC1","100288181"
"background","LNCRNA-IUR","101929295"
"background","LOXL1","4016"
"background","LOXL3","84695"
"background","LPXN","9404"
"background","LRFN3","79414"
"background","LRP2","4036"
"background","LRP2BP","55805"
"background","LRP3","4037"
"background","LRP5","4041"
"background","LRP8","7804"
"background","LRR1","122769"
"background","LRRC14","9684"
"background","LRRC59","55379"
"background","LRRC75A","388341"
"background","LRRC8A","56262"
"background","LRRFIP1","9208"
"background","LRRN4","164312"
"background","LSM12","124801"
"background","LSM14B","149986"
"background","LSM4","25804"
"background","LTBP4","8425"
"background","LTBR","4055"
"background","LTO1","220064"
"background","LUC7L2","51631"
"background","LUCAT1","100505994"
"background","LYRM1","57149"
"background","LZTR1","8216"
"background","LZTS2","84445"
"background","MACF1","23499"
"background","MAD1L1","8379"
"background","MADD","8567"
"background","MAFG","4097"
"background","MAILR","100506753"
"background","MALAT1","378938"
"background","MALL","7851"
"background","MAN1B1-DT","100289341"
"background","MAN2C1","4123"
"background","MANF","7873"
"background","MAOA","4128"
"background","MAP2K3","5606"
"background","MAP2K7","5609"
"background","MAP3K10","4294"
"background","MAP3K14","9020"
"background","MAP3K2-DT","100506922"
"background","MAP4","4134"
"background","MAP7D2","256714"
"background","MAPK14","1432"
"background","MAPK8IP3","23162"
"background","MAPKAPK3","7867"
"background","MAPKBP1","23005"
"background","MAPRE3","22924"
"background","MARVELD1","83742"
"background","MATR3","9782"
"background","MAZ","4150"
"background","MBD3","53615"
"background","MBD6","114785"
"background","MBLAC1","255374"
"background","MBTPS1-DT","119863866"
"background","MCAT","27349"
"background","MCM2","4171"
"background","MCM3","4172"
"background","MCM4","4173"
"background","MCM5","4174"
"background","MCM7","4176"
"background","MCMDC2","157777"
"background","MDH2","4191"
"background","MEAK7","57707"
"background","MECR","51102"
"background","MED1","5469"
"background","MED21","9412"
"background","MEGF8","1954"
"background","MELTF-AS1","100507057"
"background","MEMO1","51072"
"background","MEPCE","56257"
"background","METTL16","79066"
"background","METTL21A","151194"
"background","METTL23","124512"
"background","METTL27","155368"
"background","METTL3","56339"
"background","METTL8","79828"
"background","MGA","23269"
"background","MGAT1","4245"
"background","MGRN1","23295"
"background","MHENCR","100505771"
"background","MIB2","142678"
"background","MICAL2","9645"
"background","MICAL3","57553"
"background","MIDEAS","91748"
"background","MIF4GD-DT","100287042"
"background","MIGA2","84895"
"background","MINK1","50488"
"background","MIR4435-2HG","541471"
"background","MIR762HG","101928736"
"background","MIRLET7A1HG","112903833"
"background","MIRLET7IHG","120766144"
"background","MIX23","131076"
"background","MKNK2","2872"
"background","MLF2","8079"
"background","MLLT10","8028"
"background","MLST8","64223"
"background","MLX","6945"
"background","MMAA","166785"
"background","MMP25-AS1","100507419"
"background","MMRN2","79812"
"background","MMS19","64210"
"background","MNT","4335"
"background","MOB3A","126308"
"background","MOGS","7841"
"background","MORF4L2-AS1","340544"
"background","MORN1","79906"
"background","MOSPD1","56180"
"background","MPC2","25874"
"background","MPDU1-AS1","100996842"
"background","MPG","4350"
"background","MPI","4351"
"background","MPZL2","10205"
"background","MRM2","29960"
"background","MRPL14","64928"
"background","MRPL15","29088"
"background","MRPL18","29074"
"background","MRPL20","55052"
"background","MRPL24","79590"
"background","MRPL28","10573"
"background","MRPL36","64979"
"background","MRPL38","64978"
"background","MRPL48","51642"
"background","MRPL54","116541"
"background","MRPS10","55173"
"background","MRPS16","51021"
"background","MRPS2","51116"
"background","MRPS22","56945"
"background","MRPS25","64432"
"background","MRPS26","64949"
"background","MRPS6","64968"
"background","MRTO4","51154"
"background","MSANTD2-AS1","100507283"
"background","MSH6","2956"
"background","MSI2","124540"
"background","MSL2","55167"
"background","MSTO1","55154"
"background","MT2A","4502"
"background","MTA1-DT","100507437"
"background","MTAP","4507"
"background","MTERF3","51001"
"background","MTFP1","51537"
"background","MTG2","26164"
"background","MTIF2","4528"
"background","MTIF3","219402"
"background","MTM1","4534"
"background","MTO1","25821"
"background","MUC3A","4584"
"background","MUS81","80198"
